id,original_tweet_id,quoted_date,author_id,original_author_id,screen_name,original_screen_name
991691846731649025,991686033669488640,2018-05-02 14:52:15,1016063701,975074658331627522,Umit_Burcundan,BayHicDe1
991699086108577792,991512017667174400,2018-05-02 15:21:01,226224091,2596413645,12th_Mann,carrieksada
991649165460541442,991646124489498624,2018-05-02 12:02:39,919273451743076353,2574890250,Caki__,Salanefrin
991431912953733121,991431323716857857,2018-05-01 21:39:22,526110917,57039681,mehmetcheliklv,stargazete
991698032214396928,991521489731182592,2018-05-02 15:16:50,248829087,1494034783,ahamitbilici,DikenComTr
991712260560244736,991472697313054722,2018-05-02 16:13:22,232108392,3709329729,GayRepublicSwag,reallyo10
991652159614865409,991352772527296512,2018-05-02 12:14:33,798987580427505665,66732993,1NuevoMundo,hizmet_news
991707038072717313,991704664403046400,2018-05-02 15:52:37,103105127,954124423,specificproduct,AmyMek
991744342657323008,991413646625574912,2018-05-02 18:20:51,951192329070825473,1077181999,KoyluogluAziz,ThomasVLinge
991649284859879424,991600764006125568,2018-05-02 12:03:08,248829087,2844388905,ahamitbilici,kacsaatoldunet
991745345100148737,991742389214765057,2018-05-02 18:24:50,161243650,869193235918454786,Popikim,offensivemem3s_
991421192136519685,991410567024869377,2018-05-01 20:56:46,825682538416971778,2252893931,_NecdetG,NecdatG
991735954561011713,991732943654703104,2018-05-02 17:47:31,598468186,954124423,LLaister,AmyMek
991749887510401024,991694921806598144,2018-05-02 18:42:53,438041673,455830743,RFFJ44,davidzuellig
991732007859310592,991671768862658561,2018-05-02 17:31:50,92460378,963508481780322304,yagizefe,P24DavaTakip
991755549812412417,991241865297997824,2018-05-02 19:05:23,2927236667,108524355,TercoRec,mutludc
991603649540427776,991385657972084737,2018-05-02 09:01:47,22153676,941680316506411009,lawyerberlin,DoraGezwitscher
991761514137817095,991760544557359104,2018-05-02 19:29:05,962717507273490432,2574890250,DbjRg,Salanefrin
991759556983316482,991745264191987713,2018-05-02 19:21:19,526110917,833492448240336896,mehmetcheliklv,biruyuryazar
991450765154807808,991431323716857857,2018-05-01 22:54:17,740683594633355265,57039681,CahitArifoglu,stargazete
991770495614939137,991617533194227712,2018-05-02 20:04:47,346612013,487834443,Ozcan_Keles,HasanCucuk
991785220348227585,991719202208690177,2018-05-02 21:03:17,2751254297,2596413645,YMcglaun,carrieksada
991705006473662464,991644818173546496,2018-05-02 15:44:33,934091456981209088,63110096,MechulYarbay1,odatv
991766516315115522,991413256714641410,2018-05-02 19:48:58,869193235918454786,339233372,offensivemem3s_,Iazyboy
991796326860902400,991746850184224768,2018-05-02 21:47:25,11325152,955730343021219840,thomtrance,ICafrinresist
991685217860640768,991582107196633090,2018-05-02 14:25:55,926783183584145408,1142312972,Isabel_Babel,german21168
991789265989324800,991787572337823744,2018-05-02 21:19:22,285994737,218078497,aliHaslan,gazetesozcu
991796968568643584,991790291114917890,2018-05-02 21:49:58,301754043,869193235918454786,cejotaese,offensivemem3s_
991797923322134528,712620572249890816,2018-05-02 21:53:46,4764985268,4764985268,aklingozu,aklingozu
991802857392238594,929124219383840769,2018-05-02 22:13:22,965277900550410240,954124423,American_1001,AmyMek
991432003332526080,991249057422114816,2018-05-01 21:39:44,2207137254,723206253296640000,gazikozanoglu,sakirtmen57
991660576567906304,991582107196633090,2018-05-02 12:48:00,550116886,1142312972,MariaMonteroTFE,german21168
991701817460494336,991671768862658561,2018-05-02 15:31:52,420629175,963508481780322304,kamilmamann,P24DavaTakip
991783242360672256,991751495484919808,2018-05-02 20:55:26,801534913254195200,98996662,NormanSpear1,LordMolyneaux
991843945968644097,991806155608543233,2018-05-03 00:56:38,326003773,991369146976931840,osimsek_herkul,Esmauludag_
991844747386937344,991831850413973504,2018-05-03 00:59:50,31270875,71026395,Mar714,Raville
991896243461910528,991798147339956224,2018-05-03 04:24:27,2897665331,2532821389,csagir2015,caapulcukiz
991896988026359808,991704664403046400,2018-05-03 04:27:25,2290222724,954124423,genecarter999,AmyMek
991916191676620800,991876091907207168,2018-05-03 05:43:43,1493827735,925605007482851328,Frigg_14,TSearcaigh
