author_id,hashtag,count
11325152,DefendRojava,1
22153676,AfD,1
22153676,Reil,1
23074563,Afrin,1
23074563,Turkey,1
67813133,Afrin,1
67813133,Ghouta,1
67813133,Kurds,1
108524355,Afrin,1
213555363,Göttingen,1
365854454,ROMLIV,1
365854454,RomaLFC,1
365854454,RomaLiverpool,1
365854454,UCLfinal,1
591505507,MAGA,1
591505507,ThursdayThoughts,1
1077181999,Efrin,1
2323137780,EsmaUludağ,1
2596413645,BadIceCreamFlavours,1
2596413645,KeepAmericaGreat,1
2596413645,Trump2020,2
2752052868,АЗОВ,1
2752052868,полк_Азов,1
2927236667,Afrin,1
2927236667,BreakSilenceOnAfrin,1
2927236667,Rojava,1
2927236667,SDF,1
2927236667,StopAfrinGenocide,1
2927236667,Syria,1
2927236667,Turkey,1
2927236667,TwitterKurds,1
2927236667,YPG,1
2927236667,YPJ,1
3089497123,Hilafet,1
3089497123,HilafetiİkameEdin,1
3089497123,Lübnan,1
3298302672,DEMİRTAŞ,1
702303494053634049,STAR,1
702303494053634049,Take3,1
847735496633536512,1May,1
847735496633536512,1Mayıs,1
847735496633536512,MayDay,1
926783183584145408,MarchaPorLaEquiparacionYA,1
941680316506411009,Antifa,1
955730343021219840,Rojava,1
956988729402560513,SDF,1
963508481780322304,MehmetBaransu,1
980116740972695552,six,1
980116740972695552,حصري,1
980116740972695552,سكس,1
980116740972695552,مترجم,1
